issue,title,authors,url,pdf_url
Vol 4 No 1 (2022): Special Issue: Images as Data,Introduction to the Special Issue on Images as Data,"Andreu Casas, Nora Webb Williams",https://computationalcommunication.org/ccr/article/view/139,https://computationalcommunication.org/ccr/article/download/139/48
Vol 4 No 1 (2022): Special Issue: Images as Data,"Image as Data
							
					Automated Content Analysis for Visual Presentations of Political Actors and Events","Jungseock Joo, Zachary Steinert-Threlkeld",https://computationalcommunication.org/ccr/article/view/96,https://computationalcommunication.org/ccr/article/download/96/38
Vol 4 No 1 (2022): Special Issue: Images as Data,The Pervasive Presence of Chinese Government Content on Douyin Trending Videos,"Yingdan Lu, Jennifer Pan",https://computationalcommunication.org/ccr/article/view/110,https://computationalcommunication.org/ccr/article/download/110/46
Vol 4 No 1 (2022): Special Issue: Images as Data,"Visual Framing of Science Conspiracy Videos
							
					Integrating Machine Learning with Communication Theories to Study the Use of Color and Brightness","Kaiping Chen, Sang Jung Kim, Qiantong Gao, Sebastian Raschka",https://computationalcommunication.org/ccr/article/view/97,https://computationalcommunication.org/ccr/article/download/97/39
Vol 4 No 1 (2022): Special Issue: Images as Data,"Finding Fauci
							
					How Visual and Textual Information Varied on Cable News Networks During the Covid-19 Pandemic","Bryce Dietrich, Hyein Ko",https://computationalcommunication.org/ccr/article/view/113,https://computationalcommunication.org/ccr/article/download/113/47
Vol 4 No 1 (2022): Special Issue: Images as Data,"Age and Gender Representation on German TV
							
					A Longitudinal Computational Analysis","Pascal Jürgens, Christine E Meltzer, Michael Scharkow",https://computationalcommunication.org/ccr/article/view/104,https://computationalcommunication.org/ccr/article/download/104/42
Vol 4 No 1 (2022): Special Issue: Images as Data,"Representations of Racial Minorities in Popular Movies
							
					A Content-Analytic Synergy of Computer Vision and Network Science","Musa Inayat Malik, Frederic Rene Hopp, Rene Weber",https://computationalcommunication.org/ccr/article/view/106,https://computationalcommunication.org/ccr/article/download/106/45
Vol 4 No 1 (2022): Special Issue: Images as Data,Body Language and Gender Stereotypes in Campaign Video,"Markus Neumann, Erika Franklin Fowler, Travis N. Ridout",https://computationalcommunication.org/ccr/article/view/105,https://computationalcommunication.org/ccr/article/download/105/43
Vol 4 No 1 (2022): Special Issue: Images as Data,"MARMOT
							
					A Deep Learning Framework for Constructing Multimodal Representations for Vision-and-Language Tasks","Patrick Y. Wu, Walter R. Mebane, Jr.",https://computationalcommunication.org/ccr/article/view/102,https://computationalcommunication.org/ccr/article/download/102/41
Vol 4 No 1 (2022): Special Issue: Images as Data,"Athec
							
					A Python Library for Computational Aesthetic Analysis of Visual Media in Social Science Research",Yilang Peng,https://computationalcommunication.org/ccr/article/view/98,https://computationalcommunication.org/ccr/article/download/98/44
Vol 4 No 1 (2022): Special Issue: Images as Data,A Character Recognition Tool for Automatic Detection of Social Characters in Visual Media Content,"Joshua Baldwin, Ralf Schmälzle",https://computationalcommunication.org/ccr/article/view/101,https://computationalcommunication.org/ccr/article/download/101/40
