issue,title,url
Vol 4 No 1 (2022): Special Issue: Images as Data,Introduction to the Special Issue on Images as Data,https://computationalcommunication.org/ccr/article/view/139/48
Vol 4 No 1 (2022): Special Issue: Images as Data,"Image as Data
							
					Automated Content Analysis for Visual Presentations of Political Actors and Events",https://computationalcommunication.org/ccr/article/view/96/38
Vol 4 No 1 (2022): Special Issue: Images as Data,The Pervasive Presence of Chinese Government Content on Douyin Trending Videos,https://computationalcommunication.org/ccr/article/view/110/46
Vol 4 No 1 (2022): Special Issue: Images as Data,"Visual Framing of Science Conspiracy Videos
							
					Integrating Machine Learning with Communication Theories to Study the Use of Color and Brightness",https://computationalcommunication.org/ccr/article/view/97/39
Vol 4 No 1 (2022): Special Issue: Images as Data,"Finding Fauci
							
					How Visual and Textual Information Varied on Cable News Networks During the Covid-19 Pandemic",https://computationalcommunication.org/ccr/article/view/113/47
Vol 4 No 1 (2022): Special Issue: Images as Data,"Age and Gender Representation on German TV
							
					A Longitudinal Computational Analysis",https://computationalcommunication.org/ccr/article/view/104/42
Vol 4 No 1 (2022): Special Issue: Images as Data,"Representations of Racial Minorities in Popular Movies
							
					A Content-Analytic Synergy of Computer Vision and Network Science",https://computationalcommunication.org/ccr/article/view/106/45
Vol 4 No 1 (2022): Special Issue: Images as Data,Body Language and Gender Stereotypes in Campaign Video,https://computationalcommunication.org/ccr/article/view/105/43
Vol 4 No 1 (2022): Special Issue: Images as Data,"MARMOT
							
					A Deep Learning Framework for Constructing Multimodal Representations for Vision-and-Language Tasks",https://computationalcommunication.org/ccr/article/view/102/41
Vol 4 No 1 (2022): Special Issue: Images as Data,"Athec
							
					A Python Library for Computational Aesthetic Analysis of Visual Media in Social Science Research",https://computationalcommunication.org/ccr/article/view/98/44
Vol 4 No 1 (2022): Special Issue: Images as Data,A Character Recognition Tool for Automatic Detection of Social Characters in Visual Media Content,https://computationalcommunication.org/ccr/article/view/101/40
